-4.0,4.0
[-3.82454441],[4.28146719]
[-3.82402738],[4.28232203]
[-3.82351043],[4.28317692]
[-3.82299354],[4.28403185]
[-3.82247672],[4.28488681]
[-3.82195997],[4.28574182]
[-3.82144329],[4.28659688]
[-3.82092668],[4.28745197]
[-3.82041014],[4.28830711]
[-3.81989367],[4.28916228]
[-3.81937727],[4.2900175]
[-3.81886093],[4.29087276]
[-3.81834467],[4.29172807]
[-3.81782847],[4.29258341]
[-3.81731235],[4.29343879]
[-3.81679629],[4.29429422]
[-3.81628031],[4.29514969]
[-3.81576439],[4.2960052]
[-3.81524854],[4.29686075]
[-3.81473276],[4.29771635]
[-3.81421705],[4.29857198]
[-3.81370141],[4.29942766]
[-3.81318584],[4.30028338]
[-3.81267034],[4.30113914]
[-3.81215491],[4.30199494]
[-3.81163955],[4.30285078]
[-3.81112426],[4.30370666]
[-3.81060903],[4.30456259]
[-3.81009388],[4.30541856]
[-3.80957879],[4.30627457]
[-3.80906378],[4.30713062]
[-3.80854883],[4.30798671]
[-3.80803395],[4.30884284]
[-3.80751915],[4.30969902]
[-3.80700441],[4.31055524]
[-3.80648974],[4.3114115]
[-3.80597514],[4.3122678]
[-3.80546061],[4.31312414]
[-3.80494615],[4.31398052]
[-3.80443176],[4.31483694]
[-3.80391744],[4.31569341]
[-3.80340319],[4.31654992]
[-3.80288901],[4.31740647]
[-3.80237489],[4.31826306]
[-3.80186085],[4.31911969]
[-3.80134688],[4.31997636]
[-3.80083297],[4.32083307]
[-3.80031914],[4.32168983]
[-3.79980537],[4.32254663]
[-3.79929167],[4.32340347]
[-3.79877805],[4.32426035]
[-3.79826449],[4.32511727]
[-3.797751],[4.32597423]
[-3.79723758],[4.32683124]
[-3.79672424],[4.32768828]
[-3.79621096],[4.32854537]
[-3.79569775],[4.3294025]
[-3.79518461],[4.33025967]
[-3.79467154],[4.33111688]
[-3.79415854],[4.33197413]
[-3.7936456],[4.33283143]
[-3.79313274],[4.33368876]
[-3.79261995],[4.33454614]
[-3.79210723],[4.33540356]
[-3.79159457],[4.33626101]
[-3.79108199],[4.33711852]
[-3.79056948],[4.33797606]
[-3.79005703],[4.33883364]
[-3.78954466],[4.33969127]
[-3.78903235],[4.34054893]
[-3.78852012],[4.34140664]
[-3.78800795],[4.34226439]
[-3.78749585],[4.34312218]
[-3.78698383],[4.34398001]
[-3.78647187],[4.34483788]
[-3.78595998],[4.34569579]
